Date,14/03/16,13/06/16,19/09/16,19/12/16,13/03/17,19/06/17,18/09/17,18/12/17,19/03/18,18/06/18,17/09/18,17/12/18,18/03/19,17/06/19,16/09/19,16/12/19
19/01/2015,99.3650,99.2650,99.1550,99.0200,98.8700,98.7050,98.5300,98.3525,98.1700,97.9850,97.8100,97.6250,97.4700,97.3200,97.1800,97.0525
16/01/2015,99.3200,99.2150,99.1000,98.9600,98.8100,98.6400,98.4600,98.2875,98.1050,97.9200,97.7450,97.5600,97.4100,97.2600,97.1250,97.0025
15/01/2015,99.3300,99.2200,99.1000,98.9600,98.8050,98.6350,98.4550,98.2775,98.0950,97.9100,97.7350,97.5550,97.4050,97.2600,97.1300,97.0075
14/01/2015,99.3300,99.2250,99.1100,98.9750,98.8250,98.6550,98.4750,98.2975,98.1150,97.9300,97.7550,97.5750,97.4250,97.2800,97.1500,97.0275
13/01/2015,99.3100,99.2000,99.0800,98.9350,98.7750,98.6000,98.4150,98.2325,98.0450,97.8600,97.6800,97.5000,97.3500,97.2050,97.0750,96.9525
12/01/2015,99.3100,99.2000,99.0800,98.9350,98.7800,98.6050,98.4200,98.2375,98.0500,97.8650,97.6850,97.5000,97.3500,97.2050,97.0750,96.9525
09/01/2015,99.3350,99.2350,99.1250,98.9900,98.8450,98.6800,98.5100,98.3375,98.1550,97.9700,97.7950,97.6150,97.4650,97.3150,97.1800,97.0525
08/01/2015,99.3650,99.2700,99.1650,99.0350,98.8950,98.7400,98.5750,98.4075,98.2300,98.0500,97.8750,97.6950,97.5500,97.4000,97.2650,97.1375
07/01/2015,99.3800,99.2900,99.1900,99.0650,98.9300,98.7750,98.6150,98.4525,98.2800,98.1000,97.9300,97.7500,97.6050,97.4550,97.3200,97.1975
06/01/2015,99.3950,99.3100,99.2100,99.0900,98.9550,98.8000,98.6350,98.4725,98.2950,98.1150,97.9400,97.7600,97.6100,97.4600,97.3250,97.2025
05/01/2015,99.4000,99.3150,99.2150,99.0950,98.9600,98.8100,98.6450,98.4825,98.3050,98.1250,97.9500,97.7700,97.6250,97.4750,97.3400,97.2175
02/01/2015,99.3850,99.3000,99.2000,99.0750,98.9350,98.7800,98.6100,98.4425,98.2650,98.0850,97.9050,97.7250,97.5800,97.4350,97.3000,97.1775
01/01/2015,99.3800,99.2950,99.1950,99.0700,98.9300,98.7750,98.6050,98.4375,98.2600,98.0800,97.9050,97.7250,97.5800,97.4350,97.3050,97.1825
31/12/2014,99.3800,99.2950,99.2000,99.0800,98.9450,98.7900,98.6200,98.4525,98.2750,98.0950,97.9200,97.7400,97.5950,97.4500,97.3200,97.1975
30/12/2014,99.3650,99.2800,99.1800,99.0550,98.9200,98.7600,98.5900,98.4225,98.2450,98.0650,97.8900,97.7100,97.5700,97.4250,97.2950,97.1775
29/12/2014,99.3350,99.2400,99.1350,99.0050,98.8600,98.6950,98.5250,98.3525,98.1700,97.9900,97.8150,97.6350,97.4950,97.3500,97.2200,97.1025
26/12/2014,99.3150,99.2200,99.1150,98.9800,98.8350,98.6700,98.4950,98.3225,98.1400,97.9600,97.7900,97.6100,97.4700,97.3250,97.1950,97.0775
25/12/2014,99.2800,99.1800,99.0700,98.9300,98.7800,98.6100,98.4350,98.2625,98.0800,97.9000,97.7300,97.5550,97.4150,97.2750,97.1500,97.0325
24/12/2014,99.2800,99.1800,99.0650,98.9250,98.7750,98.6050,98.4250,98.2475,98.0650,97.8850,97.7150,97.5400,97.4000,97.2600,97.1400,97.0225
23/12/2014,99.2850,99.1850,99.0750,98.9400,98.7950,98.6300,98.4600,98.2875,98.1100,97.9300,97.7600,97.5850,97.4450,97.3050,97.1800,97.0625
22/12/2014,99.2950,99.2000,99.0900,98.9550,98.8050,98.6400,98.4700,98.3025,98.1250,97.9450,97.7750,97.6000,97.4600,97.3200,97.1950,97.0775
19/12/2014,99.2600,99.1600,99.0450,98.9050,98.7500,98.5800,98.4050,98.2325,98.0500,97.8700,97.7000,97.5250,97.3850,97.2500,97.1250,97.0075
18/12/2014,99.2850,99.1850,99.0750,98.9400,98.7900,98.6250,98.4500,98.2825,98.1050,97.9250,97.7600,97.5850,97.4500,97.3150,97.1900,97.0725
17/12/2014,99.3050,99.2100,99.1000,98.9700,98.8250,98.6650,98.5000,98.3375,98.1650,97.9900,97.8250,97.6550,97.5200,97.3850,97.2600,97.1375
16/12/2014,99.3100,99.2150,99.1050,98.9700,98.8250,98.6650,98.5000,98.3425,98.1750,98.0000,97.8350,97.6650,97.5300,97.3950,97.2700,97.1475
15/12/2014,99.3100,99.2100,99.1000,98.9700,98.8250,98.6700,98.5050,98.3475,98.1800,98.0100,97.8500,97.6800,97.5450,97.4100,97.2850,97.1625
12/12/2014,99.3000,99.2000,99.0850,98.9500,98.8000,98.6400,98.4750,98.3125,98.1400,97.9650,97.8000,97.6300,97.4950,97.3600,97.2350,97.1175
11/12/2014,99.2600,99.1550,99.0400,98.9000,98.7450,98.5800,98.4100,98.2425,98.0700,97.8900,97.7250,97.5550,97.4200,97.2850,97.1600,97.0425
10/12/2014,99.2900,99.1900,99.0750,98.9350,98.7850,98.6250,98.4550,98.2875,98.1100,97.9300,97.7650,97.5950,97.4600,97.3250,97.2000,97.0825
09/12/2014,99.2650,99.1600,99.0450,98.9050,98.7550,98.5900,98.4150,98.2425,98.0650,97.8800,97.7150,97.5400,97.4050,97.2700,97.1450,97.0275
08/12/2014,99.2550,99.1550,99.0400,98.9050,98.7550,98.5950,98.4250,98.2575,98.0850,97.9100,97.7500,97.5800,97.4500,97.3200,97.2000,97.0875
05/12/2014,99.2500,99.1450,99.0300,98.8900,98.7400,98.5750,98.4050,98.2375,98.0650,97.8900,97.7300,97.5600,97.4300,97.3000,97.1800,97.0675
04/12/2014,99.2400,99.1400,99.0300,98.8950,98.7500,98.5900,98.4200,98.2575,98.0900,97.9200,97.7600,97.5950,97.4650,97.3400,97.2250,97.1125
03/12/2014,99.2400,99.1450,99.0350,98.9050,98.7600,98.6050,98.4400,98.2775,98.1100,97.9400,97.7850,97.6250,97.5000,97.3700,97.2500,97.1375
02/12/2014,99.2700,99.1800,99.0750,98.9450,98.8050,98.6500,98.4900,98.3275,98.1600,97.9900,97.8350,97.6700,97.5400,97.4100,97.2900,97.1725
01/12/2014,99.3550,99.2650,99.1650,99.0450,98.9150,98.7700,98.6150,98.4575,98.2950,98.1300,97.9750,97.8100,97.6800,97.5550,97.4350,97.3175
28/11/2014,99.3650,99.2800,99.1800,99.0650,98.9350,98.7900,98.6350,98.4775,98.3150,98.1500,98.0000,97.8350,97.7050,97.5750,97.4550,97.3375
27/11/2014,99.3600,99.2750,99.1750,99.0600,98.9350,98.7900,98.6350,98.4825,98.3250,98.1650,98.0150,97.8550,97.7250,97.5950,97.4750,97.3525
26/11/2014,99.3400,99.2500,99.1500,99.0300,98.9050,98.7600,98.6100,98.4625,98.3100,98.1550,98.0050,97.8450,97.7150,97.5850,97.4650,97.3475
25/11/2014,99.3300,99.2400,99.1350,99.0100,98.8800,98.7350,98.5800,98.4275,98.2750,98.1150,97.9650,97.8050,97.6750,97.5450,97.4250,97.3075
24/11/2014,99.3900,99.3050,99.2050,99.0850,98.9550,98.8100,98.6600,98.5075,98.3550,98.1950,98.0400,97.8800,97.7550,97.6250,97.5000,97.3825
21/11/2014,99.3850,99.3000,99.2000,99.0750,98.9450,98.8000,98.6450,98.4925,98.3400,98.1800,98.0300,97.8700,97.7450,97.6200,97.5000,97.3825
20/11/2014,99.3550,99.2700,99.1700,99.0450,98.9100,98.7650,98.6150,98.4625,98.3100,98.1500,98.0000,97.8400,97.7150,97.5900,97.4700,97.3525
19/11/2014,99.3300,99.2400,99.1400,99.0200,98.8850,98.7400,98.5850,98.4325,98.2750,98.1100,97.9550,97.7950,97.6700,97.5450,97.4250,97.3075
18/11/2014,99.3350,99.2450,99.1400,99.0150,98.8850,98.7350,98.5800,98.4225,98.2600,98.0900,97.9350,97.7700,97.6400,97.5100,97.3900,97.2725
17/11/2014,99.3600,99.2750,99.1750,99.0600,98.9350,98.7900,98.6350,98.4825,98.3250,98.1600,98.0050,97.8400,97.7100,97.5850,97.4650,97.3475
14/11/2014,99.3450,99.2600,99.1600,99.0400,98.9150,98.7700,98.6150,98.4575,98.2950,98.1300,97.9750,97.8100,97.6800,97.5550,97.4350,97.3175
13/11/2014,99.3200,99.2300,99.1300,99.0050,98.8750,98.7250,98.5650,98.4025,98.2400,98.0700,97.9150,97.7500,97.6250,97.5000,97.3800,97.2625
12/11/2014,99.3100,99.2250,99.1250,99.0000,98.8650,98.7150,98.5550,98.3875,98.2200,98.0500,97.8950,97.7300,97.6050,97.4800,97.3600,97.2425
11/11/2014,99.3100,99.2250,99.1300,99.0100,98.8800,98.7350,98.5800,98.4175,98.2500,98.0800,97.9250,97.7600,97.6350,97.5100,97.3900,97.2725
10/11/2014,99.3550,99.2800,99.1900,99.0750,98.9450,98.8000,98.6450,98.4825,98.3200,98.1500,97.9950,97.8300,97.7050,97.5800,97.4600,97.3375
07/11/2014,99.3800,99.3100,99.2250,99.1150,98.9900,98.8500,98.7000,98.5475,98.3900,98.2300,98.0800,97.9200,97.7950,97.6750,97.5600,97.4425
06/11/2014,99.3750,99.3050,99.2250,99.1150,98.9950,98.8550,98.7050,98.5525,98.4000,98.2400,98.0900,97.9350,97.8150,97.7000,97.5900,97.4825
05/11/2014,99.3700,99.3000,99.2200,99.1150,98.9950,98.8550,98.7050,98.5525,98.3950,98.2350,98.0850,97.9300,97.8100,97.6950,97.5850,97.4775
04/11/2014,99.3400,99.2650,99.1800,99.0700,98.9500,98.8050,98.6500,98.4925,98.3350,98.1700,98.0200,97.8650,97.7450,97.6300,97.5200,97.4125
03/11/2014,99.3400,99.2650,99.1750,99.0650,98.9400,98.7950,98.6400,98.4825,98.3250,98.1600,98.0100,97.8500,97.7300,97.6150,97.5050,97.3975
31/10/2014,99.3550,99.2800,99.1950,99.0850,98.9650,98.8200,98.6650,98.5075,98.3500,98.1850,98.0350,97.8750,97.7550,97.6400,97.5300,97.4225
30/10/2014,99.3400,99.2600,99.1700,99.0550,98.9300,98.7850,98.6300,98.4725,98.3150,98.1500,98.0000,97.8400,97.7150,97.5950,97.4850,97.3775
29/10/2014,99.3450,99.2650,99.1700,99.0550,98.9250,98.7800,98.6250,98.4675,98.3100,98.1450,97.9900,97.8300,97.7000,97.5800,97.4650,97.3575
28/10/2014,99.3350,99.2550,99.1600,99.0400,98.9100,98.7600,98.6000,98.4425,98.2800,98.1150,97.9600,97.8000,97.6700,97.5450,97.4300,97.3225
27/10/2014,99.3650,99.2850,99.1950,99.0750,98.9500,98.8050,98.6500,98.4975,98.3400,98.1800,98.0250,97.8650,97.7400,97.6150,97.5000,97.3925
24/10/2014,99.4000,99.3250,99.2350,99.1150,98.9900,98.8500,98.7000,98.5525,98.4000,98.2450,98.0950,97.9350,97.8100,97.6850,97.5700,97.4625
23/10/2014,99.4000,99.3250,99.2350,99.1200,98.9950,98.8550,98.7050,98.5575,98.4050,98.2500,98.1000,97.9350,97.8050,97.6750,97.5450,97.4275
22/10/2014,99.4300,99.3600,99.2750,99.1600,99.0400,98.9000,98.7500,98.6025,98.4500,98.2950,98.1450,97.9800,97.8500,97.7200,97.5950,97.4775
21/10/2014,99.4550,99.3950,99.3150,99.2050,99.0900,98.9550,98.8100,98.6625,98.5150,98.3600,98.2100,98.0500,97.9250,97.8000,97.6750,97.5625
20/10/2014,99.4650,99.4050,99.3250,99.2200,99.1050,98.9750,98.8350,98.6875,98.5450,98.3950,98.2500,98.0950,97.9700,97.8450,97.7250,97.6125
17/10/2014,99.4600,99.3950,99.3150,99.2100,99.0950,98.9650,98.8250,98.6775,98.5350,98.3850,98.2450,98.0900,97.9650,97.8400,97.7200,97.6075
16/10/2014,99.4650,99.4050,99.3250,99.2200,99.1100,98.9800,98.8450,98.7025,98.5600,98.4150,98.2750,98.1250,98.0000,97.8800,97.7650,97.6575
15/10/2014,99.4600,99.3950,99.3150,99.2050,99.0950,98.9650,98.8250,98.6825,98.5400,98.3950,98.2550,98.1050,97.9800,97.8600,97.7450,97.6325
14/10/2014,99.4450,99.3800,99.3000,99.1900,99.0750,98.9450,98.8050,98.6625,98.5200,98.3700,98.2300,98.0800,97.9550,97.8300,97.7150,97.6025
13/10/2014,99.4400,99.3750,99.2950,99.1850,99.0700,98.9400,98.8000,98.6575,98.5150,98.3650,98.2200,98.0650,97.9400,97.8150,97.7000,97.5875
10/10/2014,99.4500,99.3850,99.3050,99.2000,99.0900,98.9600,98.8250,98.6825,98.5400,98.3950,98.2550,98.1000,97.9750,97.8500,97.7350,97.6225
09/10/2014,99.4350,99.3700,99.2900,99.1850,99.0750,98.9450,98.8100,98.6675,98.5300,98.3850,98.2450,98.0950,97.9750,97.8550,97.7400,97.6325
08/10/2014,99.4250,99.3600,99.2750,99.1650,99.0550,98.9300,98.7950,98.6525,98.5150,98.3700,98.2300,98.0800,97.9600,97.8400,97.7300,97.6225
07/10/2014,99.4000,99.3350,99.2500,99.1400,99.0300,98.9000,98.7650,98.6225,98.4800,98.3350,98.1950,98.0450,97.9250,97.8050,97.6950,97.5875
06/10/2014,99.3800,99.3100,99.2250,99.1150,99.0000,98.8700,98.7350,98.5925,98.4500,98.3050,98.1650,98.0150,97.8950,97.7750,97.6650,97.5575
03/10/2014,99.3750,99.3000,99.2100,99.0950,98.9750,98.8400,98.7000,98.5575,98.4150,98.2700,98.1350,97.9850,97.8650,97.7450,97.6350,97.5275
02/10/2014,99.3800,99.3050,99.2150,99.1000,98.9800,98.8450,98.7050,98.5575,98.4150,98.2700,98.1350,97.9850,97.8650,97.7450,97.6350,97.5275
01/10/2014,99.4050,99.3300,99.2400,99.1250,99.0050,98.8700,98.7300,98.5875,98.4450,98.3050,98.1700,98.0250,97.9100,97.7950,97.6850,97.5825
30/09/2014,99.4150,99.3450,99.2550,99.1450,99.0250,98.8950,98.7550,98.6125,98.4750,98.3350,98.2000,98.0550,97.9400,97.8250,97.7150,97.6125
29/09/2014,99.4300,99.3600,99.2750,99.1650,99.0550,98.9250,98.7900,98.6525,98.5150,98.3800,98.2500,98.1100,98.0000,97.8850,97.7750,97.6725
26/09/2014,99.4200,99.3500,99.2650,99.1550,99.0400,98.9100,98.7750,98.6325,98.4950,98.3550,98.2250,98.0850,97.9750,97.8600,97.7500,97.6475
25/09/2014,99.4250,99.3550,99.2700,99.1600,99.0450,98.9150,98.7800,98.6425,98.5050,98.3650,98.2350,98.0950,97.9800,97.8650,97.7550,97.6525
24/09/2014,99.4250,99.3550,99.2700,99.1600,99.0450,98.9150,98.7800,98.6425,98.5050,98.3650,98.2350,98.0950,97.9850,97.8700,97.7650,97.6625
23/09/2014,99.4100,99.3400,99.2550,99.1450,99.0300,98.9000,98.7650,98.6275,98.4900,98.3450,98.2150,98.0700,97.9600,97.8450,97.7350,97.6325
22/09/2014,99.4100,99.3400,99.2550,99.1400,99.0250,98.8950,98.7600,98.6225,98.4850,98.3450,98.2100,98.0650,97.9550,97.8400,97.7300,97.6275
19/09/2014,99.4250,99.3550,99.2700,99.1600,99.0450,98.9150,98.7800,98.6375,98.5000,98.3600,98.2250,98.0800,97.9650,97.8450,97.7350,97.6325
18/09/2014,99.4100,99.3350,99.2450,99.1300,99.0100,98.8800,98.7400,98.5975,98.4600,98.3200,98.1850,98.0400,97.9250,97.8050,97.6950,97.5875
17/09/2014,99.3150,99.2300,99.1300,99.0050,98.8800,98.7450,98.6050,98.4625,98.3200,98.1800,98.0450,97.9000,97.7800,97.6600,97.5450,97.4375
16/09/2014,99.3800,99.3000,99.2050,99.0800,98.9550,98.8200,98.6800,98.5375,98.3950,98.2550,98.1200,97.9750,97.8550,97.7350,97.6200,97.5125
15/09/2014,99.3500,99.2700,99.1700,99.0400,98.9100,98.7700,98.6250,98.4775,98.3350,98.1950,98.0600,97.9100,97.7900,97.6650,97.5500,97.4425
12/09/2014,99.3500,99.2700,99.1650,99.0350,98.9050,98.7600,98.6150,98.4675,98.3250,98.1850,98.0500,97.9000,97.7800,97.6600,97.5500,97.4425
11/09/2014,99.3450,99.2650,99.1650,99.0400,98.9150,98.7750,98.6300,98.4875,98.3500,98.2100,98.0800,97.9350,97.8200,97.7050,97.5950,97.4925
10/09/2014,99.3000,99.2150,99.1100,98.9850,98.8600,98.7200,98.5750,98.4325,98.2950,98.1600,98.0300,97.8900,97.7750,97.6600,97.5550,97.4525
09/09/2014,99.3250,99.2400,99.1400,99.0150,98.8900,98.7500,98.6050,98.4625,98.3250,98.1850,98.0500,97.9100,97.7950,97.6800,97.5750,97.4725
08/09/2014,99.3000,99.2150,99.1100,98.9800,98.8500,98.7100,98.5600,98.4125,98.2700,98.1250,97.9900,97.8450,97.7300,97.6150,97.5100,97.4075
05/09/2014,99.2450,99.1500,99.0400,98.9050,98.7700,98.6200,98.4700,98.3175,98.1750,98.0300,97.8950,97.7500,97.6350,97.5200,97.4150,97.3125
04/09/2014,99.3150,99.2250,99.1200,98.9850,98.8500,98.7000,98.5500,98.3975,98.2500,98.1050,97.9650,97.8200,97.7000,97.5800,97.4700,97.3625
03/09/2014,99.2900,99.2000,99.0950,98.9650,98.8350,98.6900,98.5450,98.3975,98.2550,98.1150,97.9800,97.8350,97.7200,97.6050,97.4950,97.3925
02/09/2014,99.2650,99.1750,99.0700,98.9400,98.8050,98.6600,98.5150,98.3675,98.2250,98.0850,97.9500,97.8100,97.6950,97.5800,97.4750,97.3725
29/08/2014,99.3000,99.2150,99.1100,98.9800,98.8500,98.7050,98.5550,98.4075,98.2650,98.1250,97.9900,97.8500,97.7350,97.6200,97.5150,97.4125
28/08/2014,99.2800,99.1900,99.0800,98.9450,98.8100,98.6600,98.5050,98.3525,98.2050,98.0600,97.9250,97.7800,97.6650,97.5500,97.4450,97.3425
27/08/2014,99.2750,99.1800,99.0700,98.9350,98.8000,98.6550,98.5000,98.3425,98.1900,98.0450,97.9100,97.7650,97.6500,97.5350,97.4300,97.3275
26/08/2014,99.3600,99.2800,99.1750,99.0450,98.9150,98.7700,98.6200,98.4675,98.3150,98.1700,98.0350,97.8900,97.7750,97.6600,97.5550,97.4525
25/08/2014,99.3750,99.2950,99.1950,99.0700,98.9450,98.8000,98.6500,98.4925,98.3400,98.1900,98.0550,97.9150,97.8050,97.6950,97.5900,97.4875
22/08/2014,99.3750,99.3000,99.2000,99.0800,98.9550,98.8100,98.6600,98.5075,98.3550,98.2100,98.0750,97.9350,97.8250,97.7150,97.6100,97.5075
21/08/2014,99.3800,99.3050,99.2100,99.0900,98.9650,98.8200,98.6700,98.5175,98.3650,98.2150,98.0750,97.9300,97.8150,97.7000,97.5900,97.4875
20/08/2014,99.3800,99.3050,99.2100,99.0900,98.9600,98.8150,98.6650,98.5075,98.3500,98.1950,98.0550,97.9050,97.7800,97.6600,97.5450,97.4375
19/08/2014,99.3850,99.3100,99.2150,99.0950,98.9650,98.8200,98.6650,98.5025,98.3400,98.1800,98.0350,97.8800,97.7550,97.6300,97.5150,97.4075
18/08/2014,99.4050,99.3350,99.2400,99.1250,98.9950,98.8500,98.6950,98.5325,98.3700,98.2050,98.0600,97.9000,97.7700,97.6450,97.5250,97.4125
15/08/2014,99.3800,99.3050,99.2100,99.0900,98.9600,98.8100,98.6500,98.4875,98.3200,98.1550,98.0050,97.8450,97.7150,97.5900,97.4700,97.3575
14/08/2014,99.4200,99.3500,99.2600,99.1450,99.0200,98.8750,98.7200,98.5625,98.4000,98.2400,98.0900,97.9350,97.8050,97.6800,97.5600,97.4475
13/08/2014,99.4400,99.3700,99.2800,99.1650,99.0450,98.9050,98.7550,98.6025,98.4500,98.2950,98.1550,98.0050,97.8800,97.7550,97.6400,97.5325
12/08/2014,99.4200,99.3500,99.2600,99.1450,99.0200,98.8750,98.7250,98.5725,98.4200,98.2650,98.1250,97.9750,97.8550,97.7350,97.6200,97.5125
11/08/2014,99.4200,99.3500,99.2550,99.1350,99.0100,98.8650,98.7100,98.5525,98.3950,98.2400,98.1000,97.9500,97.8300,97.7100,97.5950,97.4875
08/08/2014,99.4000,99.3250,99.2300,99.1050,98.9800,98.8350,98.6800,98.5275,98.3750,98.2200,98.0800,97.9300,97.8100,97.6900,97.5800,97.4725
07/08/2014,99.3900,99.3200,99.2300,99.1100,98.9900,98.8500,98.7050,98.5575,98.4050,98.2500,98.1100,97.9600,97.8400,97.7200,97.6100,97.5075
06/08/2014,99.3900,99.3250,99.2350,99.1200,99.0050,98.8700,98.7250,98.5775,98.4300,98.2800,98.1450,97.9950,97.8800,97.7650,97.6600,97.5575
05/08/2014,99.3800,99.3050,99.2100,99.0850,98.9600,98.8150,98.6600,98.5075,98.3500,98.1950,98.0550,97.9050,97.7850,97.6700,97.5650,97.4625
04/08/2014,99.3900,99.3200,99.2200,99.0900,98.9550,98.8050,98.6450,98.4825,98.3200,98.1650,98.0200,97.8700,97.7500,97.6300,97.5200,97.4175
01/08/2014,99.3800,99.3050,99.2000,99.0650,98.9300,98.7800,98.6200,98.4575,98.2950,98.1350,97.9850,97.8300,97.7100,97.5900,97.4750,97.3675
31/07/2014,99.3700,99.2900,99.1800,99.0450,98.9100,98.7550,98.5900,98.4275,98.2650,98.1050,97.9600,97.8100,97.6900,97.5700,97.4600,97.3525
30/07/2014,99.3700,99.2850,99.1700,99.0300,98.8850,98.7200,98.5500,98.3825,98.2150,98.0500,97.8950,97.7400,97.6200,97.5050,97.3950,97.2875
29/07/2014,99.3600,99.2700,99.1550,99.0050,98.8550,98.6850,98.5100,98.3325,98.1600,97.9950,97.8400,97.6850,97.5650,97.4450,97.3350,97.2275
